Algorithm,Key,Repeats,Mean Time,Standard Deviation,Top 95,Peak Memory
Dijkstra's Algorithm,Kai,100,0.008833539995976025,0.0016306976645649406,0.010685998859116808,1176
Dijkstra's Algorithm,Patryk,100,0.008465449955110671,0.0011712522767301475,0.009499000952928327,1176
Dijkstra's Algorithm,Oleseana,100,0.008477290029986762,0.0006507526495417263,0.009498999133938923,1176
Dijkstra's Algorithm,Igor,100,0.00869105004312587,0.000625580089649347,0.009499000952928327,1144
Dijkstra's Algorithm,Ross,100,0.008631719992990838,0.0007095900043954293,0.010685998859116808,1144
Dijkstra's Algorithm,Jude,100,0.008619839936727658,0.0007985075849772766,0.009499000952928327,1176
Dijkstra's Algorithm,Jonny,100,0.008762259967625141,0.0010853394361932437,0.009499000952928327,1176
Dijkstra's Algorithm,Colin,100,0.00889285987796029,0.0011325647980012133,0.009499000952928327,1176
Dijkstra's Algorithm,Will,100,0.008512989898008527,0.001022105556916148,0.009498999133938923,1176
Dijkstra's Algorithm,George,100,0.008572389997425489,0.0008325336076924378,0.009499000952928327,1176
Dijkstra's Algorithm,Fin,100,0.008524849945388269,0.0012152699010741046,0.009499000952928327,1176
Dijkstra's Algorithm,Indigo,100,0.008370499963348266,0.0014185579155275522,0.009498000508756377,1176
